"y" "delay"
"1" "Very unsatisfied" 0
"2" "Very unsatisfied" 0
"3" "Very unsatisfied" 0
"4" "Very unsatisfied" 0
"5" "Very unsatisfied" 0
"6" "Very unsatisfied" 0
"7" "Very unsatisfied" 0
"8" "Very unsatisfied" 0
"9" "Very unsatisfied" 0
"10" "Very unsatisfied" 0
"11" "Very unsatisfied" 0
"12" "Very unsatisfied" 0
"13" "Very unsatisfied" 0
"14" "Very unsatisfied" 0
"15" "Very unsatisfied" 0
"16" "Very unsatisfied" 0
"17" "Very unsatisfied" 0
"18" "Very unsatisfied" 0
"19" "Very unsatisfied" 0
"20" "Very unsatisfied" 0
"21" "Very unsatisfied" 0
"22" "Very unsatisfied" 0
"23" "Very unsatisfied" 0
"24" "Very unsatisfied" 0
"25" "Very unsatisfied" 0
"26" "Very unsatisfied" 0
"27" "Very unsatisfied" 0
"28" "Very unsatisfied" 0
"29" "Very unsatisfied" 0
"30" "Very unsatisfied" 0
"31" "Very unsatisfied" 0
"32" "Very unsatisfied" 0
"33" "Very unsatisfied" 0
"34" "Very unsatisfied" 0
"35" "Very unsatisfied" 0
"36" "Very unsatisfied" 0
"37" "Very unsatisfied" 0
"38" "Very unsatisfied" 0
"39" "Very unsatisfied" 0
"40" "Very unsatisfied" 0
"41" "Very unsatisfied" 0
"42" "Very unsatisfied" 0
"43" "Very unsatisfied" 0
"44" "Very unsatisfied" 0
"45" "Very unsatisfied" 0
"46" "Very unsatisfied" 0
"47" "Very unsatisfied" 0
"48" "Very unsatisfied" 0
"49" "Very unsatisfied" 0
"50" "Very unsatisfied" 0
"51" "Very unsatisfied" 0
"52" "Very unsatisfied" 0
"53" "Very unsatisfied" 0
"54" "Very unsatisfied" 0
"55" "Very unsatisfied" 0
"56" "Very unsatisfied" 0
"57" "Very unsatisfied" 0
"58" "Very unsatisfied" 0
"59" "Very unsatisfied" 0
"60" "Very unsatisfied" 0
"61" "Very unsatisfied" 0
"62" "Very unsatisfied" 0
"63" "Very unsatisfied" 0
"64" "Very unsatisfied" 0
"65" "Very unsatisfied" 0
"66" "Very unsatisfied" 0
"67" "Very unsatisfied" 0
"68" "Very unsatisfied" 0
"69" "Very unsatisfied" 0
"70" "Very unsatisfied" 0
"71" "Very unsatisfied" 0
"72" "Very unsatisfied" 0
"73" "Very unsatisfied" 0
"74" "Very unsatisfied" 0
"75" "Very unsatisfied" 0
